Date;Open;High;Low;Close;Volume
01/11/2021;1.075;1.100;1.055;1.060;29425200
02/11/2021;1.055;1.075;1.040;1.040;28324500
03/11/2021;1.040;1.095;1.040;1.085;20887000
04/11/2021;1.090;1.115;1.085;1.085;22870200
05/11/2021;1.085;1.095;1.070;1.085;16925900
08/11/2021;1.090;1.105;1.075;1.095;21155300
09/11/2021;1.095;1.135;1.090;1.120;42668400
10/11/2021;1.125;1.135;1.110;1.115;17234300
11/11/2021;1.115;1.130;1.110;1.125;17893800
12/11/2021;1.130;1.155;1.115;1.115;38230500
15/11/2021;1.120;1.130;1.080;1.090;13249700
16/11/2021;1.095;1.145;1.090;1.140;21238000
17/11/2021;1.150;1.200;1.145;1.180;62838500
18/11/2021;1.185;1.190;1.140;1.145;32469400
19/11/2021;1.145;1.165;1.140;1.160;14847300
22/11/2021;1.160;1.180;1.150;1.170;19266500
23/11/2021;1.170;1.180;1.150;1.175;19304400
24/11/2021;1.180;1.185;1.140;1.140;25522500
25/11/2021;1.150;1.150;1.085;1.085;47736700
26/11/2021;1.080;1.095;1.025;1.035;73841900
29/11/2021;1.030;1.070;1.025;1.050;51959600
30/11/2021;1.055;1.070;1.035;1.050;27903100
01/12/2021;1.050;1.050;1.000;1.020;49181400
02/12/2021;1.020;1.035;1.000;1.020;34851100
03/12/2021;1.030;1.060;1.020;1.040;36659100
06/12/2021;1.040;1.060;1.035;1.035;35727500
07/12/2021;1.045;1.070;1.040;1.070;30152800
08/12/2021;1.080;1.085;1.065;1.065;29393600
09/12/2021;1.065;1.075;1.055;1.060;22008000
10/12/2021;1.060;1.075;1.045;1.055;27976500
13/12/2021;1.060;1.080;1.050;1.055;17638600
14/12/2021;1.050;1.055;1.025;1.030;14711700
15/12/2021;1.030;1.040;1.015;1.015;14991600
16/12/2021;1.015;1.030;975;1.000;43367000
17/12/2021;1.000;1.005;980;980;15709100
20/12/2021;980;995;965;995;32696200
21/12/2021;1.000;1.010;990;995;14851300
22/12/2021;1.005;1.015;985;990;16925900
23/12/2021;990;1.005;980;990;11873600
24/12/2021;995;1.005;990;995;10349300
27/12/2021;1.005;1.005;990;990;5723500
