Date;Open;High;Low;Close;Volume
21/07/2021;406;422;406;420;93664900
22/07/2021;424;450;422;442;108400700
23/07/2021;450;452;432;444;46122800
26/07/2021;444;448;438;438;31816600
27/07/2021;440;442;432;436;47412300
28/07/2021;436;438;422;424;47463400
29/07/2021;424;430;416;426;51278400
30/07/2021;430;432;400;400;66161400
02/08/2021;410;434;402;430;82578400
03/08/2021;430;442;426;432;33430900
04/08/2021;432;434;424;430;24858200
05/08/2021;442;442;426;430;26897800
06/08/2021;432;434;424;430;21876000
09/08/2021;430;440;430;434;27662800
10/08/2021;434;444;434;444;34319100
12/08/2021;446;468;442;468;82496800
13/08/2021;470;472;448;454;39598200
16/08/2021;452;472;440;452;59226100
18/08/2021;452;462;436;448;119868500
19/08/2021;448;450;430;432;79965600
20/08/2021;434;436;426;428;50466400
23/08/2021;438;444;428;438;86801700
24/08/2021;442;454;442;450;61081500
25/08/2021;454;458;444;446;46264100
26/08/2021;446;448;432;440;22067600
27/08/2021;440;442;434;436;38344600
30/08/2021;444;460;436;452;135574400
31/08/2021;452;460;448;458;63577600
01/09/2021;458;460;448;454;26539100
02/09/2021;454;456;446;450;18513300
03/09/2021;450;460;448;456;65989900
06/09/2021;460;468;456;464;75351500
07/09/2021;466;472;458;470;93887500
08/09/2021;472;478;452;454;62751000
09/09/2021;454;466;452;466;55167700
10/09/2021;470;472;466;466;24787600
13/09/2021;462;466;456;462;21554600
14/09/2021;466;484;466;478;70643600
15/09/2021;478;484;474;480;51993200
16/09/2021;480;482;478;480;30969500
17/09/2021;480;482;474;478;33901100
20/09/2021;478;480;470;472;19571800
21/09/2021;468;482;466;480;30230300
22/09/2021;482;482;478;482;19152500
23/09/2021;486;488;478;480;32682100
24/09/2021;478;484;478;482;26477000
27/09/2021;482;484;480;482;11374600
28/09/2021;482;486;480;482;19274500
29/09/2021;480;480;474;478;20947300
30/09/2021;478;486;474;484;15159300
01/10/2021;478;492;476;488;64120700
04/10/2021;488;535;488;530;169118200
05/10/2021;530;535;515;525;62294100
06/10/2021;530;535;520;530;96084700
07/10/2021;525;530;505;520;67862000
08/10/2021;520;525;515;525;38904900
11/10/2021;525;525;510;515;73352400
12/10/2021;515;525;500;520;112032300
13/10/2021;520;525;505;520;91783000
14/10/2021;520;545;515;535;114949800
15/10/2021;535;545;525;530;63009200
18/10/2021;530;540;520;525;90637400
19/10/2021;525;530;515;525;34103900
21/10/2021;525;540;520;520;66727700
22/10/2021;515;525;515;525;35296200
25/10/2021;525;530;515;515;15120000
26/10/2021;520;525;515;515;13701800
27/10/2021;520;520;505;510;20443200
28/10/2021;500;510;482;488;90838300
29/10/2021;492;505;490;500;45373300
01/11/2021;500;525;500;510;70300600
02/11/2021;515;520;505;505;21872200
03/11/2021;510;525;505;515;52800600
04/11/2021;520;530;515;520;28743900
05/11/2021;525;525;510;515;30119200
08/11/2021;520;530;515;525;48600600
09/11/2021;525;530;520;525;26095500
10/11/2021;525;530;515;520;24649500
11/11/2021;520;530;520;530;26124600
12/11/2021;530;540;525;535;43497600
15/11/2021;535;550;535;545;53046900
16/11/2021;545;550;535;540;43307000
17/11/2021;545;560;540;560;45850800
18/11/2021;560;560;545;550;28352600
19/11/2021;550;560;550;555;36278900
22/11/2021;555;560;530;540;36155100
23/11/2021;540;540;525;535;36170100
24/11/2021;535;540;515;525;53142900
25/11/2021;525;530;510;520;33270600
26/11/2021;515;525;500;500;67598000
29/11/2021;500;505;488;496;55909800
30/11/2021;505;505;492;492;56102900
01/12/2021;492;496;470;478;57541800
02/12/2021;478;482;468;474;61100500
03/12/2021;478;488;472;482;42993100
06/12/2021;484;486;476;476;35479500
07/12/2021;482;494;480;486;27963800
08/12/2021;494;494;482;488;26031600
09/12/2021;488;490;480;480;20918500
10/12/2021;480;488;478;482;18000100
13/12/2021;486;505;484;500;52543500
14/12/2021;505;505;488;492;26023000
15/12/2021;492;498;490;492;28297200
16/12/2021;494;498;482;484;24612500
17/12/2021;482;486;470;470;39389200
20/12/2021;470;480;470;472;28906800
21/12/2021;474;478;470;476;21772900
22/12/2021;476;480;462;462;22850300
23/12/2021;462;466;460;462;15539400
24/12/2021;462;470;456;460;27926100
27/12/2021;460;468;458;466;18005300
