Date;Open;High;Low;Close;Volume
24/08/2021;160;164;159;160;26849600
25/08/2021;161;163;160;160;12612700
26/08/2021;160;161;157;157;8152500
27/08/2021;157;160;154;155;13370000
30/08/2021;156;161;155;161;15573700
31/08/2021;161;163;159;162;16158300
01/09/2021;162;163;159;160;9605200
02/09/2021;160;172;160;172;112378900
03/09/2021;175;189;168;172;366475100
06/09/2021;171;182;169;177;83716300
07/09/2021;178;181;173;176;46186500
08/09/2021;176;183;176;177;74386200
09/09/2021;175;180;169;172;45648400
10/09/2021;172;175;171;172;12133500
13/09/2021;172;173;170;172;19219900
14/09/2021;172;184;172;183;129069600
15/09/2021;182;186;178;179;74588900
16/09/2021;179;182;178;178;24420400
17/09/2021;178;180;175;176;32427000
20/09/2021;176;177;164;165;90668200
21/09/2021;165;168;161;167;22459700
22/09/2021;167;174;167;169;27118100
23/09/2021;170;172;168;171;17305800
24/09/2021;172;172;167;167;18642200
27/09/2021;168;169;165;168;11092500
28/09/2021;168;170;164;164;27140700
29/09/2021;164;169;162;167;16943700
30/09/2021;170;172;168;169;41941100
01/10/2021;168;181;168;176;133875000
04/10/2021;178;194;176;190;224497500
05/10/2021;192;192;184;186;101276000
06/10/2021;186;194;186;188;105501700
07/10/2021;188;193;185;186;49478200
08/10/2021;187;198;187;190;185400100
11/10/2021;191;194;189;189;52551200
12/10/2021;190;204;188;197;193820700
13/10/2021;198;200;193;194;59625100
14/10/2021;196;202;193;195;95057300
15/10/2021;197;197;193;196;30855200
18/10/2021;197;204;194;204;98020000
19/10/2021;204;208;197;200;92409600
21/10/2021;202;204;196;196;61541000
22/10/2021;196;198;189;196;62297500
25/10/2021;196;198;189;189;49669300
26/10/2021;189;191;188;188;30604600
27/10/2021;188;192;185;185;33543800
28/10/2021;186;187;176;178;72160300
29/10/2021;178;184;178;182;34811300
01/11/2021;184;188;182;187;31573500
02/11/2021;187;190;182;182;23515900
03/11/2021;183;188;181;187;16830300
04/11/2021;187;189;186;187;15556200
05/11/2021;187;188;183;186;16436300
08/11/2021;187;188;184;185;10876600
09/11/2021;188;193;185;188;50892400
10/11/2021;189;190;186;187;15182400
11/11/2021;188;189;185;188;25051400
12/11/2021;189;191;186;187;27043300
15/11/2021;188;189;183;183;18612600
16/11/2021;183;186;182;184;10210900
17/11/2021;184;187;184;184;14631400
18/11/2021;184;187;183;184;10384700
19/11/2021;184;186;182;184;16729200
22/11/2021;183;187;182;184;12465800
23/11/2021;184;187;184;185;20547200
24/11/2021;185;192;185;188;59437400
25/11/2021;189;190;185;185;29109300
26/11/2021;186;186;178;179;46375300
29/11/2021;179;179;171;175;29309500
30/11/2021;175;178;172;172;21476600
01/12/2021;172;173;165;167;27707800
02/12/2021;167;169;161;169;14811900
03/12/2021;170;173;166;170;14930200
06/12/2021;170;172;167;168;8420400
07/12/2021;168;172;168;171;9984600
08/12/2021;172;175;170;171;17707000
09/12/2021;171;174;171;172;8395300
10/12/2021;173;173;171;171;5013700
13/12/2021;171;174;170;172;7623000
14/12/2021;172;172;168;171;10233400
15/12/2021;171;171;168;169;3896700
16/12/2021;169;171;166;168;6883400
17/12/2021;169;169;167;168;5372500
20/12/2021;168;168;161;162;16964400
21/12/2021;162;164;160;163;10408900
22/12/2021;164;167;163;163;12391900
23/12/2021;163;164;160;162;6965600
24/12/2021;163;165;162;162;4007900
27/12/2021;162;165;162;163;6647400
