Date;Open;High;Low;Close;Volume
25/03/2021;930.210.938;935.055.786;886.607.300;930.210.938;33914579
26/03/2021;939.900.635;988.349.121;930.210.938;973.814.575;60557001
29/03/2021;983.504.272;993.193.970;954.435.181;959.280.029;28960451
30/03/2021;959.280.029;964.124.878;901.141.846;920.521.240;22113797
31/03/2021;905.986.694;915.676.392;867.227.905;910.831.543;62263143
01/04/2021;910.831.543;920.521.240;891.452.148;896.296.997;49271302
05/04/2021;896.296.997;905.986.694;862.383.057;876.917.603;24455975
06/04/2021;862.383.057;949.590.332;862.383.057;939.900.635;46314966
07/04/2021;944.745.483;964.124.878;915.676.392;944.745.483;25805553
08/04/2021;944.745.483;954.435.181;935.055.786;949.590.332;9523827
09/04/2021;959.280.029;959.280.029;925.366.089;930.210.938;28422353
12/04/2021;930.210.938;930.210.938;891.452.148;910.831.543;13700841
13/04/2021;910.831.543;910.831.543;886.607.300;901.141.846;6801554
14/04/2021;905.986.694;925.366.089;896.296.997;910.831.543;34215620
15/04/2021;910.831.543;915.676.392;901.141.846;910.831.543;9228255
16/04/2021;910.831.543;920.521.240;905.986.694;910.831.543;6495146
19/04/2021;915.676.392;925.366.089;905.986.694;910.831.543;21701916
20/04/2021;915.676.392;973.814.575;910.831.543;959.280.029;82009787
21/04/2021;959.280.029;973.814.575;939.900.635;949.590.332;19255297
22/04/2021;959.280.029;959.280.029;930.210.938;944.745.483;14362058
23/04/2021;944.745.483;959.280.029;939.900.635;954.435.181;9188728
26/04/2021;964.124.878;988.349.121;944.745.483;964.124.878;45813506
27/04/2021;964.124.878;993.193.970;959.280.029;983.504.272;58865720
28/04/2021;983.504.272;988.349.121;964.124.878;978.659.424;13399902
29/04/2021;939.900.635;968.969.727;935.055.786;954.435.181;19810216
30/04/2021;959.280.029;964.124.878;939.900.635;939.900.635;9490492
03/05/2021;939.900.635;949.590.332;905.986.694;949.590.332;38819479
04/05/2021;939.900.635;944.745.483;925.366.089;925.366.089;9705566
05/05/2021;925.366.089;939.900.635;905.986.694;915.676.392;14770327
06/05/2021;920.521.240;925.366.089;901.141.846;901.141.846;11137706
